"","...1","State","Abbr","GEOID"
"1",1,"Alabama","AL","01"
"2",2,"Alaska","AK","02"
"3",3,"Arizona","AZ","04"
"4",4,"Arkansas","AR","05"
"5",5,"California","CA","06"
"6",6,"Colorado","CO","08"
"7",7,"Connecticut","CT","09"
"8",8,"Delaware","DE","10"
"9",9,"District of Columbia","DC","11"
"10",10,"Florida","FL","12"
"11",11,"Georgia","GA","13"
"12",12,"Hawaii","HI","15"
"13",13,"Idaho","ID","16"
"14",14,"Illinois","IL","17"
"15",15,"Indiana","IN","18"
"16",16,"Iowa","IA","19"
"17",17,"Kansas","KS","20"
"18",18,"Kentucky","KY","21"
"19",19,"Louisiana","LA","22"
"20",20,"Maine","ME","23"
"21",21,"Maryland","MD","24"
"22",22,"Massachusetts","MA","25"
"23",23,"Michigan","MI","26"
"24",24,"Minnesota","MN","27"
"25",25,"Mississippi","MS","28"
"26",26,"Missouri","MO","29"
"27",27,"Montana","MT","30"
"28",28,"Nebraska","NE","31"
"29",29,"Nevada","NV","32"
"30",30,"New Hampshire","NH","33"
"31",31,"New Jersey","NJ","34"
"32",32,"New Mexico","NM","35"
"33",33,"New York","NY","36"
"34",34,"North Carolina","NC","37"
"35",35,"North Dakota","ND","38"
"36",36,"Ohio","OH","39"
"37",37,"Oklahoma","OK","40"
"38",38,"Oregon","OR","41"
"39",39,"Pennsylvania","PA","42"
"40",40,"Puerto Rico","PR","72"
"41",41,"Rhode Island","RI","44"
"42",42,"South Carolina","SC","45"
"43",43,"South Dakota","SD","46"
"44",44,"Tennessee","TN","47"
"45",45,"Texas","TX","48"
"46",46,"Utah","UT","49"
"47",47,"Vermont","VT","50"
"48",48,"Virginia","VA","51"
"49",49,"Virgin Islands","VI","78"
"50",50,"Washington","WA","53"
"51",51,"West Virginia","WV","54"
"52",52,"Wisconsin","WI","55"
"53",53,"Wyoming","WY","56"
